,Name,Relevance,Year,Authors,Journal,"Categories
(e.g., SLO, ILO, Decision rule, etc.)",Key ideas,Hyperlink
0,Mobile energy storage systems with spatial–temporal flexibility for post-disaster recovery of power distribution systems: A bilevel optimization approach,5,2023,Shen et al.,Energy,"MESS, Disasters","Uses a bilevel optimization framework for post-disaster recovery using MESS. Top-level objective minimizes loadshed, while bottom-level minimizes the voltage angle.",https://www.sciencedirect.com/science/article/abs/pii/S0360544223016948
1,Resilient mobile energy storage resources-based microgrid formation considering power-transportation-information network interdependencies,5,2025,Zhong J. et al.,Applied Energy,"MESS, Disaster, Multi-stage",Uses MESS and a rolling horizon framework to optimize loadshed recovery in a city-grid,https://www.sciencedirect.com/science/article/abs/pii/S0306261925004465
2,Application of Mobile Energy Storage for Enhancing Power Grid Resilience: A Review,10,2021,Dugan J. et al.,Energies,"MESS, Disaster","Review of MESS use in disaster relief, sometimes combined with emergency generator usage",https://www.mdpi.com/1996-1073/14/20/6476
3,Transportable energy storage assisted post-disaster restoration of distribution networks with renewable generations,98,2024,Zhao et al.,Energy,"MESS, Disaster, Multi-stage",Proposes a restorative framework that uses MESS to transport energy from areas disconnected from one another,https://ideas.repec.org/a/eee/energy/v295y2024ics0360544224008776.html
4,Home energy management system for enhancing grid resiliency in post-disaster recovery period using Electric Vehicle,5,2023,Jafarpour P. et al.,Journal of Energy Storage,"Energy storage, Disaster","Considers a framework that treats EVs as a distrubuted network of energy storage batteries, in order to prevent loadshed in individual households",https://www.sciencedirect.com/science/article/abs/pii/S2352467723000231
5,Research on optimal configuration of mobile energy storage in distribution networks considering various energy utilization efficiencies,20,2024,Fu et al.,Frontiers in Energy Research,"MESS, Disasters","Optimizes placement of MESS for urban grids,  develops adaptive decision-making frameworks under extreme disaster scenarios.",https://www.frontiersin.org/articles/10.3389/fenrg.2024.1388681
6,Mobile Energy-Storage Technology in Power Grid: A Review of Models and Applications,95,2024,Lu et al.,Open access,MESS,"Review of different MESS approaches, specifically for renewable energy grids where production is uncertain",https://www.mdpi.com/2071-1050/16/16/6857
7,Distribution network restoration supply method considering 5G base station energy storage participation,5,2024,Wang X. et al.,Energy,"Energy storage, Disaster, Multi-stage","Considers the problem of 5G stations backup power, when the grid capacity is volatile. Proposes a robust 2 stage to determine when is best to store and release energy.",https://www.sciencedirect.com/science/article/abs/pii/S0360544224008776
8,Optimal planning of mobile energy storage in active distribution network,5,2024,Xia et al.,IET Smart grid,MESS,Considers the usage of MESS to store and transport energy to take advantage of volatile renewable energy production to maximize annual revenue,https://ieeexplore.ieee.org/document/10137565
9,Increasing the resilience of the Texas power grid against extreme storms by hardening critical lines,5,2024,Sturmer et al,Nature,Transmission lines,Creates a model to minimize transmission line failures during hurricanes. Finds that hardening certain transmission lines by 1% can reduce probability of catastrophic outages by 5-20x in Texas grid during hurricane Harvey.,https://www.nature.com/articles/s41560-024-01491-5
10,Evaluation and Enhancement of Power System Resilience Under Weather Events,5,2025,Wu et al.,Reliability Engineering & System Safety,Disasters,Review of different metrics used to quantify resilience of power grids during weather events,https://www.mdpi.com/2673-4591/92/1/54
11,"Real-Time Power System Optimization Under Typhoon Weather Using the Smart Predict, Then Optimize Framework",95,2025,Zhang & Liu,Energies,"Disasters, SPO",Proposes real-time power system optimization using SPO. Predicts future line damage states in real-time during typhoons and dynamically adjusts optimization strategies.,https://www.mdpi.com/1996-1073/18/2/315
12,Resilience enhancement strategies for distribution networks considering the coordination of 5G base stations and multiple flexible resources,6,2024,Wang et al.,Scientific Reports,"MESS, Disaster, Multi-stage","Considers using 5G substations as a distributed power-grid storage system, to increase resilience during weather events. Also considers MESS use. They formulate a model to minimize the economic cost of storage and the loadshed of the grid.",https://www.nature.com/articles/s41598-026-35188-z
13,Current Practices in Distribution Utility Resilience Planning for Hurricanes and Non-Winter Storms,20,2024,DOE,Open access,,"Department of Energy document, review of best-practices for hurricane resilience. ",https://www.nrel.gov/docs/
14,Stochastic dual dynamic programming for optimal power flow problems under uncertainty,5,2024,Kiszka and Wozabal,European Journal of Operational Research,"SDDP, Multi-stage","Proposes a multistage AC OPF model, using a Markovian graph solved with SDDP. Also shows a deterministic SDP relaxation.",https://www.sciencedirect.com/science/article/pii/S0377221724007483
15,Using Stochastic Dual Dynamic Programming to Solve the Multi-Stage Energy Management Problem in Microgrids,5,2024,Tabares & Cortes,Energies,SDDP,Applies SDDP to multi-stage energy management in microgrids with random energy prices and generation/demand.,https://www.mdpi.com/1996-1073/17/11/2628
16,Batch learning SDDP for long-term hydrothermal planning,5,2024,Avila et al.,Open access,SDDP,"Applies batch learning techniques to SDDP in long-term hydrothermal planning. Reduces computational time while maintaining solution quality. Finds that this techniques improves parallel performance of SDDP, so it scales better than normal SDDP.",https://ieeexplore.ieee.org/document/10042891
17,Innovative Approaches to Stochastic Dual Dynamic Programming: Two-Period Decomposition and Parallelization in a Hydrothermal Scheduling Case Study,85,2024,Pedrini et al.,Journal of Water Resources Planning and Management,"SDDP, Multi-stage","Uses SDDP to solve a hydrothermal problem, but uses two periods per subproblem",https://ascelibrary.org/doi/10.1061/JWRMD5.WRENG-6491
18,Integration of energy storage systems and grid modernization for reliable urban power management toward future energy sustainability,5,2025,Arun et al.,Journal of energy storage,Energy storage,"Proposes using mini-storage solutions to enhance grid resilience, shows greater effiency",https://www.sciencedirect.com/science/article/pii/S2352152X25001409
19,A resilience-oriented optimal planning of energy storage systems in high renewable energy penetrated systems,5,2023,Abdulrazzaq-Oraibi et al.,Journal of energy storage,"MESS, disasters","Optimizes the placement of MESS in a grid with uncertain production & pricing, fixed battery storage, and possible shocks (hurricanes, etc.)",https://www.sciencedirect.com/science/article/pii/S2352152X23012318
20,Resilient resource allocations for multi-stage transportation-power distribution system operations in hurricanes,5,2024,J Li et al.,IEEE Xplore,"disaster, Energy storage, Multistage","Uses a two-stage model, with the first stage taking care of allocating resources before the hurricane strikes, and the second stage being a multi-period model to minimize loadshed given the first stage allocations.",https://ieeexplore.ieee.org/abstract/document/10445529/
21,Coordinated robust configuration of soft open point and energy storage systems for resilience enhancement of integrated multi-energy system at ports,10,2025,W Ma et al.,Applied Energy,"disaster, Energy storage, Multistage","Uses a two-stage robust model, where the first stage establishes a post-disaster ""defense strategy"" consisting of classifying sources by their flexibility and reserve capacity. The second stage minimizes loadshed based on the rankings from the first stage.",https://www.sciencedirect.com/science/article/pii/S0306261925013741
