,Name,Year,Authors,Journal,"Categories
(e.g., SLO, ILO, Decision rule, etc.)",Key ideas,Hyperlink
1,Resilient resource allocations for multi-stage transportation-power distribution system operations in hurricanes,2024,J Li et al., ieeexplore.ieee.org,"disaster, Energy storage, Multistage",,https://ieeexplore.ieee.org/abstract/document/10445529/
3,Coordinated robust configuration of soft open point and energy storage systems for resilience enhancement of integrated multi-energy system at ports,2025,W Ma et al., Elsevier,"disaster, Energy storage, Multistage",,https://www.sciencedirect.com/science/article/pii/S0306261925013741
4,A Multi-Stage Collaborative Optimization Operation Method for Distribution-Microgrid for Reliability Improvement,2024,H Xu et al., ieeexplore.ieee.org,"disaster, Energy storage, Multistage",,https://ieeexplore.ieee.org/abstract/document/10956062/
5,A novel robust energy storage planning method for grids with wind power integration considering the impact of hurricanes,2025,H Yang et al., ieeexplore.ieee.org,"disaster, Energy storage, Multistage",,https://ieeexplore.ieee.org/abstract/document/10844010/
6,Multi-stage expansion planning of energy storage integrated soft open points considering tie-line reconstruction,2022,P Li et al., Springer,"disaster, Energy storage, Multistage",,https://link.springer.com/article/10.1186/s41601-022-00268-5
7,A multi-stage coordinated resilience enhancement strategy for distribution networks considering voltage quality,2025,W Tang et al., Elsevier,"disaster, Energy storage, Multistage",,https://www.sciencedirect.com/science/article/pii/S0142061525008609
8,Enhancing resilience and sustainability of distribution networks by emergency operation of a truck-mounted mobile battery energy storage fleet,2023,H Saboori, Elsevier,"disaster, Energy storage, Multistage",,https://www.sciencedirect.com/science/article/pii/S2352467723000450
1,Power System Transition Planning: An Industry-Aligned Framework for Long-Term Optimization,2025,A A, arxiv.org,"disaster, Energy storage, SDDP",,https://arxiv.org/abs/2505.01331
2,On the Applications of Stochastic Dual Dynamic Programming,2023,BK SERANILLA, orbilu.uni.lu,"disaster, Energy storage, SDDP",,https://orbilu.uni.lu/handle/10993/58728
5,Multistage operation for distributed solar and energy storage system,2023,Y Li et al., ieeexplore.ieee.org,"disaster, Energy storage, SDDP",,https://ieeexplore.ieee.org/abstract/document/10142108/
6,Optimizing vaccine distribution in developing countries under natural disaster risk,2024,BK Seranilla & N Löhndorf, Wiley Online Library,"disaster, Energy storage, SDDP",,https://onlinelibrary.wiley.com/doi/abs/10.1002/nav.22143
